window_start,pkt_count,byte_count,unique_dst_ports,unique_dst_ips,syn_count,syn_ratio,rst_count,mean_pkt_size,std_pkt_size,mean_iat,flow_count,tcp_udp_ratio,label,source_pcap
1777174799.131657,70,8975,2,1,7,0.1,0,128.21428571428572,232.8491168643115,0.1308278139086737,2,1.0,benign,benign.pcap
1777174809.131657,15,1204,1,1,2,0.13333333333333333,0,80.26666666666667,28.198029876019508,0.20483194078717912,1,1.0,benign,benign.pcap
1777174819.131657,38,6371,2,1,3,0.07894736842105263,0,167.6578947368421,309.56423330697675,0.21620824530317978,2,1.0,benign,benign.pcap
1777174829.131657,31,2506,1,1,4,0.12903225806451613,0,80.83870967741936,27.915883759555296,0.20939210255940754,1,1.0,benign,benign.pcap
1777174839.131657,33,2638,1,1,4,0.12121212121212122,0,79.93939393939394,27.287403458582833,0.19134681671857834,1,1.0,benign,benign.pcap
1777174849.131657,17,1400,1,1,2,0.11764705882352941,0,82.3529411764706,27.09664875408806,0.40243786573410034,1,1.0,benign,benign.pcap
1777174859.131657,62,8245,2,1,6,0.0967741935483871,0,132.98387096774192,246.77039687148937,0.14071158893772814,2,1.0,benign,benign.pcap
1777174869.131657,32,2572,1,1,4,0.125,0,80.375,27.597271151329437,0.24116264620134908,1,1.0,benign,benign.pcap
1777174879.131657,31,2506,1,1,4,0.12903225806451613,0,80.83870967741936,27.915883759555296,0.14669893582661947,1,1.0,benign,benign.pcap
1777174889.131657,83,13604,2,1,6,0.07228915662650602,0,163.90361445783134,296.3962918023176,0.11066230331979147,2,1.0,benign,benign.pcap
1777174899.131657,18,1498,1,1,2,0.1111111111111111,0,83.22222222222223,26.576003285243697,0.4124763432671042,1,1.0,benign,benign.pcap
1777174909.131657,17,1400,1,1,2,0.11764705882352941,0,82.3529411764706,27.09664875408806,0.2618663161993027,1,1.0,benign,benign.pcap
1777174919.131657,29,2310,1,1,4,0.13793103448275862,0,79.65517241379311,28.483844013718716,0.2554357477596828,1,1.0,benign,benign.pcap
1777174929.131657,38,6371,2,1,3,0.07894736842105263,0,167.6578947368421,309.5642333069767,0.21516256719022184,2,1.0,benign,benign.pcap
1777174939.131657,31,2506,1,1,4,0.12903225806451613,0,80.83870967741936,27.915883759555296,0.1688615322113037,1,1.0,benign,benign.pcap
1777174949.131657,16,1302,1,1,2,0.125,0,81.375,27.63800598813163,0.19724520047505698,1,1.0,benign,benign.pcap
1777174959.131657,18,1498,1,1,2,0.1111111111111111,0,83.22222222222223,26.576003285243697,0.4122571664697984,1,1.0,benign,benign.pcap
1777174969.131657,36,6175,2,1,3,0.08333333333333333,0,171.52777777777777,317.5993708109419,0.09735266140529088,2,1.0,benign,benign.pcap
1777174979.131657,31,2506,1,1,4,0.12903225806451613,0,80.83870967741936,27.915883759555296,0.17470810413360596,1,1.0,benign,benign.pcap
1777174989.131657,17,1400,1,1,2,0.11764705882352941,0,82.3529411764706,27.09664875408806,0.12515956163406372,1,1.0,benign,benign.pcap
1777174999.131657,17,1400,1,1,2,0.11764705882352941,0,82.3529411764706,27.09664875408806,0.12575507164001465,1,1.0,benign,benign.pcap
1777175009.131657,17,1400,1,1,2,0.11764705882352941,0,82.3529411764706,27.09664875408806,0.12513181567192078,1,1.0,benign,benign.pcap
1777175019.131657,39,6373,2,1,3,0.07692307692307693,0,163.4102564102564,306.43255149013584,0.1304529968060945,2,1.0,benign,benign.pcap
1777175029.131657,31,2506,1,1,4,0.12903225806451613,0,80.83870967741936,27.915883759555296,0.2501358985900879,1,1.0,benign,benign.pcap
1777175039.131657,39,6469,2,1,3,0.07692307692307693,0,165.87179487179486,305.7679847311062,0.13895660325100548,2,1.0,benign,benign.pcap
1777175049.131657,32,2572,1,1,4,0.125,0,80.375,27.597271151329437,0.13155918736611644,1,1.0,benign,benign.pcap
1777175059.131657,33,2638,1,1,4,0.12121212121212122,0,79.93939393939394,27.287403458582833,0.1277584359049797,1,1.0,benign,benign.pcap
1777175069.131657,30,2408,1,1,4,0.13333333333333333,0,80.26666666666667,28.19802987601951,0.3201213129635515,1,1.0,benign,benign.pcap
1777175079.131657,52,7477,2,1,5,0.09615384615384616,0,143.78846153846155,267.9533065335237,0.17665478762458353,2,1.0,benign,benign.pcap
1777176026.426946,1003,60180,1000,1,1000,0.9970089730807578,3,60.0,0.0,0.00010571460761947784,1000,1.0,port_scan,portscan.pcap
1777176046.426946,21281,1574746,21275,1,21275,0.9997180583619191,3,73.99774446689536,0.1343100048678152,0.0004536694938078859,21275,1.0,port_scan,portscan.pcap
1777176056.426946,20919,1548006,20919,1,20919,1.0,0,74.0,0.0,0.000477974040294676,20919,1.0,port_scan,portscan.pcap
1777176066.426946,19795,1464830,19795,1,19795,1.0,0,74.0,0.0,0.0005051502497783752,19795,1.0,port_scan,portscan.pcap
1777176076.426946,3542,262108,3542,1,3542,1.0,0,74.0,0.0,0.0005259579165915721,3542,1.0,port_scan,portscan.pcap
1777176096.426946,105,8388,21,1,0,0.0,0,79.88571428571429,43.19707095134472,0.07429239383110633,21,0.0,port_scan,portscan.pcap
1777176106.426946,169,13510,26,1,0,0.0,0,79.94082840236686,42.011227597919145,0.052734553813934326,26,0.0,port_scan,portscan.pcap
1777176116.426946,19,1770,10,1,0,0.0,0,93.15789473684211,66.94008566809634,0.5451933807796903,10,0.0,port_scan,portscan.pcap
1777176126.426946,12,926,8,1,0,0.0,0,77.16666666666667,14.775166853729791,0.8008743632923473,8,0.0,port_scan,portscan.pcap
1777176136.426946,9,622,7,1,0,0.0,0,69.11111111111111,14.700298140925536,0.875768393278122,7,0.0,port_scan,portscan.pcap
1777176146.426946,4,300,4,1,0,0.0,0,75.0,22.64950330581225,1.001312017440796,4,0.0,port_scan,portscan.pcap
1777176166.426946,8829,529740,8826,1,8826,0.9996602106693849,3,60.0,0.0,0.00046925564724015174,8826,1.0,port_scan,portscan.pcap
1777176176.426946,1170,70200,1170,1,1170,1.0,0,60.0,0.0,0.0005122850449091355,1170,1.0,port_scan,portscan.pcap
1777179478.737076,220,39787,1,1,17,0.07727272727272727,0,180.85,251.06831784849462,0.04339611367003558,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179488.737076,35,5098,1,1,0,0.0,0,145.65714285714284,3.9852790340943303,0.18958997025209315,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179498.737076,45,6534,1,1,0,0.0,0,145.2,3.9191835884530843,0.1933413635600697,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179508.737076,245,40646,1,1,16,0.0653061224489796,0,165.90204081632652,233.85505408770985,0.03700993002438154,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179518.737076,223,37509,1,1,17,0.07623318385650224,0,168.2017937219731,252.6427840245047,0.03391255773939528,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179528.737076,64,9216,1,1,0,0.0,0,144.0,3.4641016151377544,0.11219176413520934,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179538.737076,48,6888,1,1,0,0.0,0,143.5,3.122498999199199,0.1503981072851952,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179548.737076,224,37344,1,1,16,0.07142857142857142,0,166.71428571428572,244.61425275944413,0.023163928044751085,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179558.737076,230,38351,1,1,17,0.07391304347826087,0,166.74347826086955,248.97670456086584,0.035678034786574185,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179568.737076,48,6920,1,1,0,0.0,0,144.16666666666666,3.55512150128359,0.1351778507232666,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179578.737076,32,4608,1,1,0,0.0,0,144.0,3.4641016151377544,0.13994029260450794,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179588.737076,48,6888,1,1,0,0.0,0,143.5,3.122498999199199,0.13647423399255632,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179598.737076,224,37344,1,1,16,0.07142857142857142,0,166.71428571428572,244.61425275944413,0.029711389755454298,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179608.737076,197,34425,1,1,17,0.08629441624365482,0,174.746192893401,268.04737922779,0.04938406603676932,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179618.737076,65,8542,1,1,0,0.0,0,131.41538461538462,20.036038536514305,0.12889782711863518,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179628.737076,64,9224,1,1,0,0.0,0,144.125,3.5333235062756425,0.1350320785764664,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179638.737076,150,20998,1,1,14,0.09333333333333334,0,139.98666666666668,187.15551418242765,0.056932663757529034,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777179648.737076,162,26498,1,1,2,0.012345679012345678,0,163.5679012345679,227.65042175499,0.060118036980954755,1,1.0,brute_force_ssh,bruteforce_ssh.pcap
1777180259.452862,224,16155,1,1,16,0.07142857142857142,0,72.12053571428571,6.296876186889036,0.03558837244863467,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180269.452862,285,20369,1,1,16,0.056140350877192984,0,71.47017543859648,6.194790253512283,0.028132256487725486,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180279.452862,287,20493,1,1,16,0.05574912891986063,0,71.40418118466899,6.148316384538507,0.027468468759443376,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180289.452862,286,20436,1,1,16,0.055944055944055944,0,71.45454545454545,6.193530656756745,0.02771060341282895,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180299.452862,223,15612,1,1,24,0.10762331838565023,0,70.00896860986548,5.551221762981094,0.02634439704654453,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180309.452862,285,20309,1,1,16,0.056140350877192984,0,71.25964912280702,5.993208426653143,0.028275324425227205,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180319.452862,284,20238,1,1,16,0.056338028169014086,0,71.2605633802817,5.961353917330617,0.026728494428493108,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180329.452862,286,20365,1,1,16,0.055944055944055944,0,71.2062937062937,5.931081067311703,0.025757322813335218,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180339.452862,231,16389,1,1,8,0.03463203463203463,0,70.94805194805195,5.994722290422865,0.03159712604854418,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180349.452862,248,17691,1,1,16,0.06451612903225806,0,71.33467741935483,6.061253787508562,0.03032327856612109,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180359.452862,223,15814,1,1,16,0.07174887892376682,0,70.91479820627802,5.8153119230158135,0.019478045068345627,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180369.452862,284,20243,1,1,16,0.056338028169014086,0,71.27816901408451,5.989140597631249,0.026537918791754087,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180379.452862,287,20428,1,1,16,0.05574912891986063,0,71.17770034843205,5.913410402311608,0.026177392139301432,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180389.452862,287,20217,1,1,24,0.08362369337979095,0,70.44250871080139,5.731142808162678,0.02903084321455522,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180399.452862,287,20441,1,1,16,0.05574912891986063,0,71.22299651567944,5.988295268229519,0.022816486291952067,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180409.452862,287,20436,1,1,16,0.05574912891986063,0,71.20557491289199,5.954201245704852,0.024289943955161354,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180419.452862,286,20365,1,1,16,0.055944055944055944,0,71.2062937062937,5.931081067311703,0.026271961446394,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180429.452862,231,16389,1,1,8,0.03463203463203463,0,70.94805194805195,5.994722290422865,0.032047822164452594,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180439.452862,248,17787,1,1,16,0.06451612903225806,0,71.72177419354838,6.461362341166928,0.03330812183951559,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180449.452862,277,19853,1,1,16,0.05776173285198556,0,71.67148014440433,6.437453779762094,0.02671809472899506,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180459.452862,231,16494,1,1,16,0.06926406926406926,0,71.40259740259741,6.335346606944495,0.03264913040658702,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180469.452862,326,23302,1,1,16,0.049079754601226995,0,71.47852760736197,6.386659239145917,0.0307037536914532,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180479.452862,249,17649,1,1,24,0.0963855421686747,0,70.87951807228916,6.2151471733354455,0.028637923540607575,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180489.452862,287,20633,1,1,16,0.05574912891986063,0,71.89198606271778,6.7192716670036035,0.024228130187187995,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180499.452862,292,20958,1,1,16,0.0547945205479452,0,71.77397260273973,6.676754346386358,0.03422526805261566,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180509.452862,281,20227,1,1,16,0.05693950177935943,0,71.98220640569394,6.684797388718314,0.02712833881378174,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180519.452862,246,17523,1,1,8,0.032520325203252036,0,71.23170731707317,6.6331860555595785,0.03947800032946528,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180529.452862,334,23695,1,1,30,0.08982035928143713,0,70.94311377245509,5.999979830723746,0.029768033070607228,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180539.452862,218,15777,1,1,5,0.022935779816513763,0,72.37155963302752,6.4091762161279116,0.0459354055641983,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777180549.452862,192,13710,1,1,13,0.06770833333333333,0,71.40625,6.1552452648804605,0.018405062990038808,1,1.0,brute_force_ftp,bruteforce_ftp.pcap
1777181097.631078,150580,9034800,1,1,99638,0.6616947801832913,50942,60.0,0.0,6.640652437477162e-05,1,1.0,dos_flood,dos_flood.pcap
1777181107.631078,168946,10136760,1,1,115243,0.6821292010464882,53703,60.0,0.0,5.9188842886335106e-05,1,1.0,dos_flood,dos_flood.pcap
1777181117.631078,188301,11298060,1,1,135950,0.721982358033149,52351,60.0,0.0,5.31043654354215e-05,1,1.0,dos_flood,dos_flood.pcap
1777181127.631078,193534,11612040,1,1,139613,0.7213874564675974,53921,60.0,0.0,5.166858289463698e-05,1,1.0,dos_flood,dos_flood.pcap
1777181137.631078,189500,11370000,1,1,131216,0.6924327176781002,58284,60.0,0.0,5.276923988643477e-05,1,1.0,dos_flood,dos_flood.pcap
1777181147.631078,8351,501060,1,1,3155,0.37779906598012214,5196,60.0,0.0,0.0011704464586908946,1,1.0,dos_flood,dos_flood.pcap
1777181157.631078,174541,10472460,2,1,115600,0.6623085693332799,58941,60.0,0.0,5.682911593656954e-05,2,1.0,dos_flood,dos_flood.pcap
1777181167.631078,182973,10978380,1,1,125480,0.6857842413908063,57493,60.0,0.0,5.464952639329653e-05,1,1.0,dos_flood,dos_flood.pcap
1777181177.631078,177672,10660320,1,1,126262,0.7106465847179072,51410,60.0,0.0,5.626488183889048e-05,1,1.0,dos_flood,dos_flood.pcap
1777181187.631078,158418,9505080,1,1,110261,0.6960130793217942,48157,60.0,0.0,6.312272185923875e-05,1,1.0,dos_flood,dos_flood.pcap
1777181197.631078,145643,8738580,1,1,95371,0.6548272144902261,50272,60.0,0.0,6.865597935487453e-05,1,1.0,dos_flood,dos_flood.pcap
1777181207.631078,12496,749760,1,1,4058,0.3247439180537772,8438,60.0,0.0,0.0006530580257310443,1,1.0,dos_flood,dos_flood.pcap
1777181277.631078,18862,1131720,1,1,9431,0.5,9431,60.0,0.0,0.0005170962861206061,1,1.0,dos_flood,dos_flood.pcap
1777181287.631078,19839,1190340,1,1,9919,0.49997479711679016,9920,60.0,0.0,0.0005040607429317486,1,1.0,dos_flood,dos_flood.pcap
1777181297.631078,20517,1231020,1,1,10259,0.5000243700346054,10258,60.0,0.0,0.0004873970117827423,1,1.0,dos_flood,dos_flood.pcap
1777181307.631078,18880,1132800,1,1,9440,0.5,9440,60.0,0.0,0.0005296419293100384,1,1.0,dos_flood,dos_flood.pcap
1777181317.631078,19337,1160220,1,1,9668,0.4999741428349796,9669,60.0,0.0,0.0005171654956322048,1,1.0,dos_flood,dos_flood.pcap
1777181327.631078,480,28800,1,1,240,0.5,240,60.0,0.0,0.000525862289619844,1,1.0,dos_flood,dos_flood.pcap
1777181337.631078,23955,1437300,1,1,0,0.0,0,60.0,0.0,0.0004030358585320401,1,1.0,dos_flood,dos_flood.pcap
1777181347.631078,26824,1609440,1,1,0,0.0,0,60.0,0.0,0.00037276639512768926,1,1.0,dos_flood,dos_flood.pcap
1777181357.631078,22297,1337820,1,1,0,0.0,0,60.0,0.0,0.00044847084366381277,1,1.0,dos_flood,dos_flood.pcap
1777181367.631078,26951,1617060,1,1,0,0.0,0,60.0,0.0,0.0003709810430353338,1,1.0,dos_flood,dos_flood.pcap
1777181377.631078,23481,1408860,1,1,0,0.0,0,60.0,0.0,0.00042586899291108374,1,1.0,dos_flood,dos_flood.pcap
1777181387.631078,742,44520,1,1,0,0.0,0,60.0,0.0,0.00047179915805255516,1,1.0,dos_flood,dos_flood.pcap
